timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1524971107867446665,3.97668,-0.431327,-12.437,0.37418,0.858217,-0.00961744,-0.379971,-0.0314116
1524971107883692919,4.35529,0.204957,-12.4409,0.374459,0.857703,0.00453165,-0.387773,0.0137015
1524971107891955200,4.35527,0.204804,-12.4408,0.374424,0.857703,0.00452833,-0.387774,0.0136913
1524971107900448295,2.61243,-1.82459,-12.2536,0.370333,0.834813,-0.0431562,-0.361259,-0.171475
1524971107908972957,2.97403,-1.62216,-12.6425,0.380727,0.843182,-0.036747,-0.363867,-0.141975
1524971107917342316,4.90768,0.313751,-12.5026,0.375604,0.855652,0.00682322,-0.398903,0.0186408
1524971107933565935,4.79201,0.751824,-12.4765,0.37539,0.854394,0.0164338,-0.397352,0.0453524
1524971107942231095,4.52714,0.455954,-12.3141,0.370942,0.856297,0.0101401,-0.392635,0.0292564
1524971107950329112,2.28755,-2.32898,-12.2508,0.368941,0.81655,-0.0562422,-0.361408,-0.218427
1524971107958550769,2.52881,-2.09789,-12.4183,0.375401,0.827098,-0.049364,-0.361765,-0.19299
1524971107967217054,4.97125,0.535394,-12.8304,0.385789,0.855278,0.0113649,-0.397829,0.0312994
1524971107983585418,3.18878,-0.716968,-12.378,0.373355,0.857687,-0.016324,-0.364084,-0.0639407
1524971107992275004,3.07519,-0.678354,-12.5729,0.379918,0.858277,-0.0152447,-0.360391,-0.062745
1524971108000148674,3.25646,-0.167409,-12.7434,0.384971,0.861317,-0.00369403,-0.36211,-0.0149017
1524971108008614505,3.37871,-0.313214,-12.4399,0.375313,0.860303,-0.00705877,-0.36674,-0.0268238
1524971108017694920,4.70224,-0.695017,-12.4069,0.371823,0.854849,-0.0152983,-0.395952,-0.042761
1524971108033783665,4.47659,0.221912,-12.4868,0.375684,0.857318,0.00487765,-0.390003,0.0144377
1524971108042251921,4.31115,-0.0334746,-12.4733,0.37529,0.858066,-0.000739004,-0.386528,-0.00226219
1524971108050525680,2.98624,-2.13487,-12.4714,0.374867,0.832587,-0.049309,-0.369242,-0.174628
1524971108058884598,3.10075,-1.96915,-12.4772,0.375124,0.837176,-0.0452104,-0.369814,-0.160089
1524971108067797930,4.79233,1.42603,-12.5181,0.377362,0.849578,0.0311305,-0.398881,0.083926
1524971108083495227,2.26996,-2.43524,-12.2683,0.370814,0.813472,-0.0588744,-0.362203,-0.224806
1524971108092264489,2.61808,-2.22588,-12.682,0.381788,0.825691,-0.0512921,-0.363107,-0.196119
1524971108100573992,4.95492,0.669906,-12.9191,0.38865,0.854923,0.0141411,-0.397018,0.0391793
1524971108108879442,4.96021,0.629513,-12.6546,0.380517,0.854704,0.0135326,-0.399128,0.0368263
1524971108117371873,3.73386,0.220055,-12.4169,0.374681,0.859618,0.00493506,-0.374564,0.0171102
1524971108133883006,3.13635,-2.04718,-12.4913,0.375425,0.835953,-0.0469475,-0.370985,-0.163464
1524971108142296940,3.29961,-1.79893,-12.5315,0.37683,0.841998,-0.0408261,-0.371796,-0.142125
1524971108150524715,4.873,1.11977,-12.56,0.378265,0.85201,0.0243047,-0.399193,0.0657131
1524971108158804007,4.89235,1.03195,-12.504,0.376846,0.852495,0.0224723,-0.399795,0.0605254
1524971108167246901,3.47208,-3.18263,-12.1582,0.365193,0.816952,-0.074696,-0.387505,-0.206778
1524971108183712342,4.79399,1.42044,-13.0017,0.392191,0.850318,0.02998,-0.39519,0.0835243
1524971108191868316,4.79865,1.40463,-12.7274,0.383815,0.850071,0.0302092,-0.397297,0.0826182
1524971108200228831,3.6315,0.245418,-12.4452,0.375688,0.859872,0.00550286,-0.372168,0.0196036
1524971108208968500,3.43199,-0.0811494,-12.4197,0.374928,0.860752,-0.00182915,-0.367802,-0.00686562
1524971108217248902,2.91311,-2.52809,-12.5154,0.376123,0.82324,-0.0586216,-0.371227,-0.199041
1524971108233685410,3.34607,-0.0616061,-12.1682,0.367793,0.860818,-0.00141773,-0.367424,-0.00534619
1524971108242539057,3.84025,0.249419,-12.6767,0.382513,0.859473,0.00547632,-0.375194,0.0188522
1524971108250705424,4.88665,1.05861,-12.9834,0.391116,0.853013,0.0222999,-0.396018,0.0620512
1524971108258763735,4.91085,0.939979,-12.6153,0.379736,0.853202,0.0202967,-0.399052,0.0550854
1524971108267313402,2.75944,-2.65738,-12.7543,0.383306,0.818235,-0.0609679,-0.368845,-0.211938
1524971108283679576,4.01226,0.160379,-12.4813,0.376152,0.858946,0.0035602,-0.380121,0.0116248
1524971108292215999,3.98546,0.240029,-12.3362,0.372099,0.85872,0.00538937,-0.380617,0.017502
1524971108300688805,4.46648,-1.22282,-12.8506,0.38528,0.852245,-0.0262605,-0.389262,-0.07746
1524971108308761054,4.46648,-1.22282,-12.8506,0.385233,0.852245,-0.0262605,-0.389262,-0.0774603
1524971108317267551,4.04534,0.270767,-12.4804,0.376123,0.858609,0.00600793,-0.380929,0.0194453
1524971108333520558,4.58534,0.166668,-12.5661,0.377916,0.857129,0.00363387,-0.391646,0.0105947
1524971108342158833,4.24115,-0.164563,-12.2791,0.369809,0.85796,-0.00369089,-0.386511,-0.0112978
1524971108350444406,1.936,-2.66154,-12.177,0.367408,0.798999,-0.0660201,-0.360914,-0.253031
1524971108358770137,2.33242,-2.3788,-12.581,0.379013,0.816516,-0.0559628,-0.361051,-0.218622
1524971108367425973,4.57809,2.01026,-12.6666,0.38288,0.843471,0.0437538,-0.396038,0.119166
1524971108383725881,4.61879,-1.91489,-12.6263,0.377346,0.844617,-0.0417365,-0.396662,-0.113359
1524971108392626478,4.65826,-1.81677,-12.5744,0.3774,0.845707,-0.0396878,-0.397371,-0.107411
1524971108400445926,2.50464,1.27736,-12.5409,0.381426,0.846554,0.029351,-0.352866,0.134169
1524971108408752627,2.68866,1.09894,-12.5676,0.381881,0.851467,0.0250146,-0.354812,0.111087
1524971108417427604,4.99954,0.0679364,-12.6047,0.378297,0.855781,0.00146357,-0.399837,0.00396926
1524971108433866061,3.25182,-2.03408,-12.5715,0.377617,0.837298,-0.0462077,-0.37245,-0.158342
1524971108442236266,3.29262,-1.73358,-12.8117,0.38585,0.843381,-0.0385184,-0.369585,-0.138098
1524971108450559917,4.55495,1.54495,-12.917,0.390236,0.849139,0.0330004,-0.39171,0.0945685
1524971108458694067,4.62723,1.30937,-12.5821,0.379513,0.850928,0.0285594,-0.394724,0.0799949
1524971108467363927,2.34411,-3.41615,-12.1435,0.366338,0.7925,-0.0839893,-0.37309,-0.26011
1524971108483610161,4.91289,0.929235,-12.8939,0.388262,0.853659,0.0196778,-0.396894,0.0544266
1524971108492140280,4.91722,0.906065,-12.7657,0.384265,0.853605,0.0193556,-0.397918,0.0530728
