timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1524921084789868509,0,0,-12.0024,0.367595,1,0,-0,0
1524921084798450317,0,0,-11.9684,0.366615,1,0,-0,0
1524921084806332917,3.09229,-3.92909,-11.7675,0.352201,0.796684,-0.0964322,-0.389695,-0.24659
1524921084814654802,3.09926,-3.92359,-11.8227,0.353815,0.797006,-0.095877,-0.389408,-0.246146
1524921084823081093,3.08941,-3.93136,-12.0225,0.36057,0.797059,-0.0947014,-0.388073,-0.246616
1524921084839573343,2.95745,-3.14255,-12.4077,0.372736,0.810839,-0.0737567,-0.377735,-0.224529
1524921084848315577,2.97969,-3.20419,-12.3769,0.371663,0.809908,-0.0753421,-0.37874,-0.226042
1524921084856418233,3.01783,-3.98656,-11.8357,0.35423,0.794472,-0.0976357,-0.388585,-0.250894
1524921084864574694,3.0196,-3.98523,-11.827,0.354026,0.794511,-0.0976591,-0.388655,-0.250798
1524921084872982903,3.21244,-3.83148,-12.0259,0.359951,0.800915,-0.0918291,-0.389136,-0.239194
1524921084889810736,3.09376,-3.92793,-12.0085,0.359452,0.797171,-0.0946991,-0.388197,-0.246367
1524921084898128939,3.09377,-3.92793,-12.0086,0.359465,0.797171,-0.0946983,-0.388196,-0.246367
1524921084906304151,3.16545,-3.87039,-12.0367,0.360293,0.799466,-0.0928582,-0.388654,-0.242061
1524921084914664117,3.22539,-3.82059,-12.6533,0.383635,0.802356,-0.0874967,-0.385448,-0.238085
1524921084922962693,3.42992,-2.9126,-15.229,0.458587,0.824813,-0.0555926,-0.368566,-0.196191
1524921084939694993,2.45408,-4.35632,-6.25172,0.183711,0.753619,-0.180523,-0.433428,-0.289026
1524921084948061098,2.4732,-4.34549,-6.55713,0.193021,0.75661,-0.174127,-0.429524,-0.287169
1524921084956344792,3.42111,-3.64637,-13.8747,0.416498,0.810093,-0.0763006,-0.380194,-0.225059
1524921084964653295,3.42705,-3.64079,-13.8786,0.416559,0.81028,-0.0761473,-0.380212,-0.224662
1524921084973208627,3.09308,-3.92847,-12.0167,0.359761,0.797164,-0.0946578,-0.388141,-0.246403
1524921084989482662,3.2067,-3.83628,-12.0471,0.360612,0.800773,-0.0918221,-0.388951,-0.239536
1524921084998372031,3.20714,-3.83591,-12.0559,0.360813,0.800802,-0.0917526,-0.3889,-0.239504
1524921085006692262,3.14692,-3.88548,-12.1076,0.362406,0.79901,-0.0928072,-0.388053,-0.243143
1524921085014675436,3.14578,-3.88639,-12.0924,0.362016,0.798948,-0.092936,-0.388137,-0.243219
1524921085023086633,3.17313,-3.8641,-12.153,0.363917,0.799909,-0.091898,-0.388001,-0.241534
